Single,White,Bald/Shaved,Clean Shaven,Black,Naturally Smooth,Small,Cut,Otter
Dating,Black,Military,Varies,Blond,Shaved,Average,Uncut,Wolf
Open Relationship,Asian,Short,Goatee,Brown,Some Hair,Above Average,Partially Cut,Average
Married,Latino,Medium,Light Beard,Gray,Hairy,Large,,Bear
Complicated,Middle Eastern,Long,Full Beard,Salt & Pepper,Very Hairy,Oh My!,,Muscle Bear
Poly,Native American,Pony Tail,Mushtasche,Red,,,,Chub
Married & Open Relationship,Other,,,,,,,Super Chub
Engaged,,,,,,,,Muscular
Widowed,,,,,,,,Twink
Separated,,,,,,,,Athletic
Divorced,,,,,,,,Heavy
,,,,,,,,Slim
,,,,,,,,Swimmer
,,,,,,,,Cub
