city,state,lat,lng,countyName
CHEYENNE,WY,41.1351,-104.79,LARAMIE
SHERIDAN,WY,44.7962,-106.9643,SHERIDAN
ROCK SPRINGS,WY,41.5951,-109.2238,SWEETWATER
DUBOIS,WY,43.5389,-109.6443,FREMONT
GILLETTE,WY,44.2752,-105.4983,CAMPBELL
GLENROCK,WY,42.8565,-105.8624,CONVERSE
CODY,WY,44.5212,-109.0549,PARK
GREEN RIVER,WY,41.5124,-109.4708,SWEETWATER
LOVELL,WY,44.8357,-108.3919,BIG HORN
RAWLINS,WY,41.7849,-107.2265,CARBON
CASPER,WY,42.842,-106.3207,NATRONA
LA BARGE,WY,42.2605,-110.1971,LINCOLN
EVANSVILLE,WY,42.868,-106.2525,NATRONA
PINEDALE,WY,42.8676,-109.8706,SUBLETTE
POWELL,WY,44.7958,-108.7681,PARK
TORRINGTON,WY,42.0658,-104.1623,GOSHEN
BUFFALO,WY,44.3426,-106.7139,JOHNSON
EVANSTON,WY,41.2602,-110.9646,UINTA
THERMOPOLIS,WY,43.6479,-108.2139,HOT SPRINGS
LARAMIE,WY,41.3099,-105.6085,ALBANY
FORT WASHAKIE,WY,43.0069,-108.9205,FREMONT
RIVERTON,WY,43.0421,-108.414,FREMONT
POINT OF ROCKS,WY,41.6831,-108.7755,SWEETWATER
DOUGLAS,WY,42.7541,-105.3968,CONVERSE
LANDER,WY,42.8313,-108.7599,FREMONT
MILLS,WY,42.8473,-106.383,NATRONA
MEETEETSE,WY,44.1543,-108.8612,PARK
SARATOGA,WY,41.4517,-106.8107,CARBON
WORLAND,WY,44.0026,-107.9543,WASHAKIE
WHEELING,WV,40.0752,-80.6951,OHIO
MORGANTOWN,WV,39.638,-79.9468,MONONGALIA
HURRICANE,WV,38.4293,-82.0168,PUTNAM
CHAPMANVILLE,WV,37.9727,-82.0216,LOGAN
HEDGESVILLE,WV,39.5544,-77.9944,BERKELEY
HUNTINGTON,WV,38.4109,-82.4344,CABELL
SOUTH CHARLESTON,WV,38.3482,-81.711,KANAWHA
KEYSER,WV,39.4394,-78.9822,MINERAL
WESTON,WV,39.0392,-80.4618,LEWIS
FAYETTEVILLE,WV,38.0622,-81.1084,FAYETTE
MARTINSBURG,WV,39.4582,-77.9776,BERKELEY
CHARLESTON,WV,38.3484,-81.6323,KANAWHA
BUCKHANNON,WV,38.9927,-80.2282,UPSHUR
MOUNDSVILLE,WV,39.9221,-80.7422,MARSHALL
SHEPHERDSTOWN,WV,39.4318,-77.8048,JEFFERSON
OAK HILL,WV,37.9844,-81.1277,FAYETTE
SUMMERSVILLE,WV,38.2865,-80.841,NICHOLAS
BRIDGEPORT,WV,39.3036,-80.2477,HARRISON
MIDDLEBOURNE,WV,39.4947,-80.907,TYLER
RAVENSWOOD,WV,38.956,-81.7619,JACKSON
MANNINGTON,WV,39.5274,-80.3409,MARION
CHESTER,WV,40.6129,-80.5627,HANCOCK
SALEM,WV,39.2849,-80.5645,HARRISON
PARKERSBURG,WV,39.2624,-81.542,WOOD
FAIRMONT,WV,39.4768,-80.1491,MARION
NEW CUMBERLAND,WV,40.5072,-80.6115,HANCOCK
CLARKSBURG,WV,39.2863,-80.323,HARRISON
ROMNEY,WV,39.3454,-78.7564,HAMPSHIRE
