month,day,hour,duration,text,summary,city,state,shape,year,pressure,temp,hail,heatindex,windchill,rain,vis,dewpt,thunder,fog,precip,wspd,tornado,hum,snow,wgust,wdire,conds
4,15,23,5 minutes,"Around 11 pm, my husband and I stepped out onto our porch so I could have a cigarette.  We observed 3  bright lights, strobe like, set up in the shape of a triangle. First it went forwards, seemed too fast for an airplane, but we assumed it was. It seemed to head towards a star, then it stopped, and as quickly as it went forwards it darted backwards toward a different star, stopped, darted forwards and then disappeared. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))","Yellow/orange light moving around slowly, appeared to be around 1,500' altitude",THERMOPOLIS,WY,TRIANGLE,2014,-1.054946521,-1.720696134,0,NA,-1.418727285,0,NA,-0.968321507,0,0,NA,6.779819176,0,1.598872339,0,4.805296327,NW,OVERCAST
1,1,0,30 minutes,"One black triangle shaped ufo hovering with flashing different colored lights on all 3 sides of object. Date of Sighting: 1/1/16 Location of Sighting:  Thermopolis, Wy, Time of Sighting:  12:30 a.m. Number of UFOs Seen:  One Weather:  Clear Cloudless Sky, Around Zero Degrees Reporter of Sighting:  Woman 59 years of age; employed in legal profession and work for the federal government. Equipment used for Sighting:  Binoculars I was in a motel room on second floor. I wanted to try out my new binoculars, so went outside on the balcony. I immediately noticed flashing colored lights in one area. I focused the binoculars on the lights. The ufo I saw was in the sky, and was a black triangle with different colored lights flashing on all 3 sides of the object. The ufo was hovering and appeared to be not moving in any direction. The colored lights on the 3 sides of the ufo were flashing. I stayed on the balcony for half an hour, despite the zero degree temperature because the object fascinated me and I wanted to be certain it was not a plane or a planet. The flashing lights outlined a black triangle so the shape of the ufo was definitely a triangle. I zoomed my binoculars in on other objects i.e. stars, etc. The stars had no colored lights and were not flashing; they were stationary white stars. I finally concluded this was definitely a triangle shaped ufo with various colors of flashing lights on all 3 sides of the triangle, and that the object was hovering in the sky. The next night on 1/2/16, I went outside on balcony at same time and the object was not in the night sky.",Yellowish/orange sphere witnessed by 6-8 people in Western NY,THERMOPOLIS,WY,TRIANGLE,2016,1.436839984,-2.742348723,0,NA,-2.588254079,0,NA,-2.178518572,0,0,NA,1.283381697,0,0.885394067,0,NA,SOUTH,UNKNOWN
12,15,17,15 minutes aprox,"Large Orange UFO over Laramie, WY. I sighted a large orange ball of light on the North end of town.  It was hovering at about tree height.  I stepped out toward the field next to my house to get a better look.   After a moment the light flashed brightly and expanded into long horizontal cylinder shaped light, with the center still a glowing orange ball.   This object was quite large.   It began moving steadily in my direction when I moved inside out of fear.  I came back outside after about ten minutes and did not see it.   After scanning the sky I noticed a similar orange ball, except it was way up in the sky and appeared to be far away, hovering above town.","Yellowish-green glowing object over Bellingham, WA",LARAMIE,WY,CHANGING,2011,1.13520267,-2.65039999,0,NA,-1.70054097,0,NA,-2.218858474,0,0,NA,-0.357641004,0,0.504872322,0,NA,WEST,CLEAR
10,18,21,8 seconds,"V-shaped aircraft with underglow in Cody, WY. We're from the neighboring town about 20 min away and we were just making a late night trip to Walmart.  We had just left Walmart and were driving out back to our home town and while we were driving there was this big bright light pretty high in the sky in the distance.    Then before we could even say what is that to each other, it was right over us.  Then it was like just sitting above this hill next to the road....and like it had a blue under glow and was V-shaped, so we pulled over right away and the second we got out it was like boom gone and not like flying off in the distance it literally like was.  I've never seen a shape like that or anything that fast.  I'm not sure of the color but from what we both remember it was a steel grey color.",zig zagging light.,CODY,WY,TRIANGLE,2014,0.059800073,NA,0,NA,NA,0,0.0642725,NA,0,0,NA,-0.357641004,0,NA,0,NA,WSW,CLEAR
8,16,17,1 minute,"Small white craft, very few medium height clouds on this day,   saw small white triangle shaped object cruising West to East cutting through one of the clouds. S mallish object, thought possible drone.   Thing traveled in perfect straight line, no vapor trail, no noise as it was pretty much straight over head at one point.  Traveled at pretty good pace.   not prop or jet as didn't see how the thing was moving,  it just was cruising- no lights just small white triangle shaped object.","You can see a movement, but very slight. Hovering with red & blue lights circling it.  ((anonymous report))",CHEYENNE,WY,TRIANGLE,2014,0.597501372,1.548592151,0,NA,NA,0,0.0642725,-0.706112142,0,0,NA,1.471209596,0,-2.444171201,0,0.061549893,WNW,PARTLY CLOUDY
6,28,21,2 hours,"Highly erratic flight pattern by unknown object flying around multiple other common aircraft. This happened in South Charleston, WV. I even mapped the geographical coordinates of where we were laying. I and another witness were at 38.32238,-8172043 laying on a set of monkey bars behind a school both facing northeast. I noticed the object first. It was a yellowish glow high in the sky and I made a joke about how that star looked like it was moving. Upon further investigation I noticed it had been moving. From what I could see it was flying around the same elevation as most aircraft were that night. The night was clear and no cloud coverage at all. There were a lot of other aircraft and one aircraft even flew right into the yellow glowing object, however it looked as if it passed over top of it. The object had no particular flight pattern and moved erratically. Based on surrounding aircraft I would assume it flew at over a 600 miles per hour and would stop and switch directions quickly. It moved in every direction, left to right, up and down, and they weren’t always constant flight patterns. They would also fly from left to right and then slowly sweep upward in a curved motion.  There were multiple other aircraft that were all easily identified even when they were flying at a higher altitude and this flight pattern matched no aircraft possible in the area and had no hazard lights to let you know that it was a normal aircraft. The sighting occurred 6/28/12 from approximately 9:30pm to 11:30 pm. We watched the object move to many different areas of the sky. We actually looked up and placed it to be flying around the Hercules constellation from where we were laying. I took great care to include all accurate details and did have  a witness. This is my first sighting of an object like this, and I’m sure it was no meteor (there was a meteor shower) and I’m positive it was no local aircraft I’ve ever viewed. I tried to film it on my iPhone, unfortunately the ambient light from the light pole wouldn’t allow it to focus and concentrate on the beam. The object was too far away to determine a shape, but it was definitely highly illuminated. We even wondered while watching it how the aircraft could not notice or see this or maybe they had. There was a very unusual amount of air traffic that night too from what I observed, especially for the time frame.",Witnessed Diamond Object with Light formations hover then move as it faded or dissappeared,SOUTH CHARLESTON,WV,LIGHT,2012,-0.950029195,1.722273091,0,0.021180368,NA,0,0.0642725,0.746124336,0,0,NA,0.186071337,0,-1.44530162,0,NA,SSW,CLEAR
7,28,12,2 seconds,"neon blue orb streaking by Size of the moon almost at about 4 500 feet up in the air for 2 seconds the completely disappeared Well it all started when me and my cousin were walking to the pop machine to get some soda we were just talking and carrying on our business then up in the sky to our left id say about 4 500 feet in the air a blue orb streaked by in the sky it was about the size of the moon and it moved too fast to be an aircraft i know how aircraft move, this object was moving at about the speed of a shooting star but was moon sized after a second of flying it completely disappeared into thin air me and him both seen this and i have to tell you before i seen this i didnt believe in UFO's but tonight i know that was something i cant identify hope this info helps you...",Woman and adult daughter witness cluster of orange lights near the Albany Hospital.,PRINCETON,WV,OVAL,2011,0.217176063,1.609891306,0,-0.033370288,NA,0,0.0642725,0.967993798,0,0,NA,0.551841457,0,-1.064779875,0,NA,NW,CLEAR
8,25,22,30 seconds,"bright orange light moves rapidly across the sky and dissappears suddenly, three witnesses. Witnessed one very bright orange light, moving rapidly, cross over the moon. I saw it and lept from my chair shouting, &quot;what the heck is that, what the heck is that!!&quot;   ran across the yard, watching it the whole time and then it just dissappeared. Nobody heard a sound, it was deffiently not a plane or helicopter...ive never seen anything like that before.",Witnessed a bright orange-red fireball type of object moving from Maui toward Molokai at 4:30 AM.,PARKERSBURG,WV,LIGHT,2012,0.676189367,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NORTH,UNKNOWN
7,8,22,8 seconds,Just as I looked up at the moon I saw a triangular shadow moving slightly below the moon.  I could only see the shadow of it as it passed below the moon as it was not lit itself.   It only lasted around 6-8 seconds.,yellow lite triangle over Anthem in 2006.,PARKERSBURG,WV,TRIANGLE,2014,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NORTH,UNKNOWN
5,3,21,3-5 minutes,"Several lights seen over Parkersburg, WV While at work in Parkersburg, I stepped outside around 9:45pm to talk on the phone to a friend.  During the conversation, I looked in the direction of US50 and initially saw four orange lights in a triangle shape, heading in a south east to north west direction.   After a minute or so, I saw four to five more lights appear, and all changed direction to the north.   After around 5 minutes, all the lights had disappeared, no obstructions to block view before the dissapearence. The objects appeared to be over US 50/I-77, and maybe 1,00 feet or more in the air.","Yellow and red oval orb flying horizontally over us in the city of White House, Tennessee.",PARKERSBURG,WV,LIGHT,2014,-0.477901225,NA,0,NA,NA,0,0.0642725,NA,0,0,NA,1.283381697,0,NA,0,NA,WEST,CLEAR
