City,State,Latitude,Longitude
Abilene,TX,32.4487,99.7331
Akron,OH,41.04349,-81.524017
Albany,NY,42.614852,-73.970812
Albuquerque,NM,35.199592,-106.644831
Alexandria,VA,38.819853,-77.059645
Allen,TX,33.089587,-96.607767
Allentown,PA,40.602658,-75.469236
Amarillo,TX,35.20603,-101.839602
Anaheim,CA,33.844983,-117.952151
Anchorage,AK,61.220018,-149.855702
Ann Arbor,MI,42.266638,-83.849042
Antioch,CA,37.996501,-121.812301
Appleton,WI,44.275702,-88.370856
Arcadia,CA,34.136258,-118.026704
Arlington,TX,32.635563,-97.148829
Arlington,VA,38.885484,-77.099113
Arvada,CO,39.794822,-105.105292
Asheville,NC,35.602711,-82.567281
Athens,GA,33.992902,-83.353697
Atlanta,GA,33.844371,-84.47405
Atlantic City,NJ,39.377297,-74.451082
Augusta,GA,33.456687,-81.969184
Aurora,CO,39.739249,-104.862881
Aurora,IL,41.747452,-88.238622
Austin,TX,30.268335,-97.741382
Avondale,AZ,33.4356,-112.3496
Bakersfield,CA,35.384337,-119.020562
Baltimore,MD,39.296536,-76.623489
Barnstable,MA,41.697313,-70.301394
Baton Rouge,LA,30.44924,-91.185607
Bayamon,PR,18.326702,-66.174176
Beaumont,TX,30.073712,-94.109705
Bellevue,WA,47.615471,-122.207221
Bellingham,WA,48.754401,-122.478836
Bend,OR,44.082037,-121.227125
Berkeley,CA,37.864425,-122.28713
Billings,MT,45.686966,-108.387392
Binghamton,NY,42.165629,-75.890685
Birmingham,AL,33.456412,-86.801904
Bloomington,IL,40.476771,-88.992995
Bloomington,IN,39.07881,-86.435094
Boise,ID,43.603768,-116.272921
Bonita Springs,FL,26.552895,-81.94861
Boston,MA,42.354318,-71.073449
Boulder,CO,40.049468,-105.201421
Brandon,FL,28.119579,-82.451959
Bremerton,WA,47.606478,-122.634712
Bridgeport,CT,41.308873,-73.363661
Broken Arrow,OK,35.986399,-95.818064
Bronx,NY,40.819329,-73.920355
Brooklyn,NY,40.645099,-73.945032
Brownsville,TX,25.963264,-97.550453
Buffalo,NY,42.89606,-78.886424
Burbank,CA,34.200993,-118.292773
Burlington,NC,36.029833,-79.49161
Burlington,VT,44.476622,-73.209998
Cambridge,MA,42.380442,-71.132947
Canton,OH,40.79979,-81.375811
Cape Coral,FL,26.606491,-81.95016
Carlsbad,CA,33.144219,-117.319439
Carmel,IN,39.962604,-86.174761
Carolina,PR,18.379441,-65.957695
Carrollton,TX,32.962473,-96.89817
Cary,NC,35.763369,-78.788169
Cedar Rapids,IA,41.976612,-91.657578
Centennial,CO,39.62732,-104.779035
Champaign,IL,40.10789,-88.244266
Chandler,AZ,33.324113,-111.878217
Charleston,SC,32.780326,-79.940844
Charleston,WV,38.350719,-81.630359
Charlotte,NC,35.26002,-80.804151
Charlottesville,VA,38.026588,-78.48045
Chattanooga,TN,35.017818,-85.206426
Chesapeake,VA,36.749991,-76.218759
Chicago,IL,41.88531,-87.62213
Chico,CA,39.746159,-121.840083
Chula Vista,CA,32.636922,-117.050072
Cincinnati,OH,39.166759,-84.53822
Clarksville,TN,36.522633,-87.334932
Clearwater,FL,27.978147,-82.781523
Cleveland,OH,41.489381,-81.667486
Clovis,CA,36.825296,-119.68019
Coeur D Alene,ID,47.691736,-116.654109
College Station,TX,30.609093,-96.325984
Colorado Springs,CO,38.828893,-104.809929
Columbia,MD,39.206132,-76.887905
Columbia,MO,38.894165,-92.274145
Columbia,SC,33.987454,-81.024864
Columbus,GA,32.472864,-84.97823
Columbus,OH,40.100924,-83.013402
Concord,CA,37.953672,-122.022872
Concord,NC,35.371633,-80.562141
Spring Hill,FL,28.468477,-82.595728
Corona,CA,33.752886,-116.055617
Corpus Christi,TX,27.797802,-97.399067
Costa Mesa,CA,33.678399,-117.911715
Dallas,TX,32.781179,-96.790329
Daly City,CA,37.687509,-122.438783
Danbury,CT,41.376242,-73.471416
Davenport,IA,41.521038,-90.574849
Davie,FL,26.067529,-80.275056
Dayton,OH,39.750471,-84.268593
Deltona,FL,28.900274,-81.245074
Denton,TX,33.220974,-97.146038
Denver,CO,39.760189,-104.996553
Des Moines,IA,41.672687,-93.572173
Detroit,MI,42.347021,-83.060184
Dover,DE,39.156376,-75.49549
Downey,CA,33.786594,-118.298662
Duluth,MN,47.005566,-92.001934
Durham,NC,35.99924,-78.897944
East Los Angeles,CA,34.023902,-118.172016
Eau Claire,WI,44.75653,-91.473097
Edinburg,TX,26.280689,-98.183295
El Cajon,CA,32.776012,-116.880634
El Centro,CA,32.770275,-115.598602
El Monte,CA,34.078573,-118.043456
El Paso,TX,31.763608,-106.484592
Elgin,IL,42.034492,-88.238396
Elizabeth,NJ,40.672052,-74.183438
Elk Grove,CA,38.44148,-121.307142
Elkhart,IN,41.71873,-85.937024
,,0,0
Erie,PA,42.121293,-80.088919
Escondido,CA,33.102005,-117.08042
Eugene,OR,44.067988,-123.080181
Evansville,IN,37.997128,-87.574963
Everett,WA,47.988661,-122.199795
Fairfield,CA,38.278428,-122.020276
Fargo,ND,46.927094,-96.834703
Fayetteville,AR,35.974602,-94.190997
Fayetteville,NC,35.0748,-78.884257
Flint,MI,42.965926,-83.780835
Fontana,CA,34.103288,-117.4363
Fort Collins,CO,40.594597,-105.127416
Fort Lauderdale,FL,26.121323,-80.127909
Fort Smith,AR,35.366188,-94.416458
Fort Wayne,IN,41.065397,-85.15842
Fort Worth,TX,32.771419,-97.291484
Frederick,MD,39.443551,-77.33294
Fredericksburg,VA,38.295135,-77.483689
Fremont,CA,37.565285,-121.982721
Fresno,CA,36.8411,-119.801015
Frisco,TX,33.146336,-96.856347
Fullerton,CA,33.879768,-117.896341
Gainesville,FL,29.648993,-82.324515
Gainesville,GA,34.334398,-83.837912
Garden Grove,CA,33.787165,-117.931889
Garland,TX,32.931523,-96.615821
Gastonia,NC,35.284018,-81.189693
Gilbert,AZ,33.335401,-111.815281
Gilroy,CA,37.023347,-121.493849
Glendale,AZ,33.531753,-112.177935
Glendale,CA,34.17051,-118.289463
Grand Junction,CO,39.069019,-108.583126
Grand Prairie,TX,32.776671,-97.009389
Grand Rapids,MI,42.956176,-85.660693
Greeley,CO,40.384991,-104.680631
Green Bay,WI,44.480778,-88.016063
Greensboro,NC,36.069144,-79.765156
Greenville,NC,35.580444,-77.392609
Greenville,SC,34.848567,-82.402871
Gresham,OR,45.508117,-122.430233
Gulfport,MS,30.382966,-89.102426
Hagerstown,MD,39.58887,-77.700213
Hampton,VA,37.072658,-76.38992
Harlingen,TX,26.255523,-97.667502
Harrisburg,PA,40.258655,-76.894376
Hartford,CT,41.791776,-72.718832
Hayward,CA,37.673946,-122.08482
Hemet,CA,33.667301,-116.963506
Henderson,NV,35.927901,-114.972061
Hialeah,FL,25.909809,-80.388874
Hickory,NC,35.758221,-81.308224
High Point,NC,35.954467,-79.987882
Highland Park,CO,39.379452,-105.324766
Hillsboro,OR,45.458397,-122.977963
